mapping_id,case_id,atlas_case_id,technique_id,technique_display_name,tactic_id,tactic_name,atlas_step_id,mapping_basis,source_id,source_url,collected_on
MAP01,C01,AML.CS0031,AML.T0018.002,Manipulate AI Model: Embed Malware,AML.TA0001,AI Attack Adaptation,S00,official ATLAS employs relationship; selected subset,S01,https://github.com/mitre-atlas/atlas-data/blob/v2026.09/dist/v6/ATLAS-2026.09.yaml#L11780-L11789,2026-09-24
MAP02,C01,AML.CS0031,AML.T0115.001,Publish Poisoned AI Artifacts: Models,AML.TA0003,Resource Development,S01,official ATLAS employs relationship; selected subset,S01,https://github.com/mitre-atlas/atlas-data/blob/v2026.09/dist/v6/ATLAS-2026.09.yaml#L11812-L11822,2026-09-24
MAP03,C01,AML.CS0031,AML.T0010,AI Supply Chain Compromise,AML.TA0004,Initial Access,S03,official ATLAS employs relationship; selected subset,S01,https://github.com/mitre-atlas/atlas-data/blob/v2026.09/dist/v6/ATLAS-2026.09.yaml#L11762-L11770,2026-09-24
MAP04,C01,AML.CS0031,AML.T0011.000,User Execution: Unsafe AI Artifacts,AML.TA0005,Execution,S04,official ATLAS employs relationship; selected subset,S01,https://github.com/mitre-atlas/atlas-data/blob/v2026.09/dist/v6/ATLAS-2026.09.yaml#L11771-L11779,2026-09-24
MAP05,C02,AML.CS0015,AML.T0010.001,AI Supply Chain Compromise: AI Software,AML.TA0004,Initial Access,S00,official ATLAS employs relationship; selected subset,S01,https://github.com/mitre-atlas/atlas-data/blob/v2026.09/dist/v6/ATLAS-2026.09.yaml#L10390-L10403,2026-09-24
MAP06,C03,AML.CS0064,AML.T0018.003,Manipulate AI Model: Modify Prompt Construction Logic,AML.TA0001,AI Attack Adaptation,S02,official ATLAS employs relationship; selected subset,S01,https://github.com/mitre-atlas/atlas-data/blob/v2026.09/dist/v6/ATLAS-2026.09.yaml#L15098-L15108,2026-09-24
MAP07,C03,AML.CS0064,AML.T0115.001,Publish Poisoned AI Artifacts: Models,AML.TA0003,Resource Development,S04,official ATLAS employs relationship; selected subset,S01,https://github.com/mitre-atlas/atlas-data/blob/v2026.09/dist/v6/ATLAS-2026.09.yaml#L15184-L15193,2026-09-24
MAP08,C03,AML.CS0064,AML.T0010.003,AI Supply Chain Compromise: Model,AML.TA0004,Initial Access,S05,official ATLAS employs relationship; selected subset,S01,https://github.com/mitre-atlas/atlas-data/blob/v2026.09/dist/v6/ATLAS-2026.09.yaml#L15067-L15076,2026-09-24
MAP09,C03,AML.CS0064,AML.T0011.000,User Execution: Unsafe AI Artifacts,AML.TA0005,Execution,S06,official ATLAS employs relationship; selected subset,S01,https://github.com/mitre-atlas/atlas-data/blob/v2026.09/dist/v6/ATLAS-2026.09.yaml#L15077-L15087,2026-09-24
MAP10,C04,AML.CS0065,AML.T0021,Establish Accounts,AML.TA0003,Resource Development,S01,official ATLAS employs relationship; selected subset,S01,https://github.com/mitre-atlas/atlas-data/blob/v2026.09/dist/v6/ATLAS-2026.09.yaml#L15224-L15233,2026-09-24
MAP11,C04,AML.CS0065,AML.T0018.002,Manipulate AI Model: Embed Malware,AML.TA0001,AI Attack Adaptation,S03,official ATLAS employs relationship; selected subset,S01,https://github.com/mitre-atlas/atlas-data/blob/v2026.09/dist/v6/ATLAS-2026.09.yaml#L15215-L15223,2026-09-24
MAP12,C04,AML.CS0065,AML.T0115.001,Publish Poisoned AI Artifacts: Models,AML.TA0003,Resource Development,S04,official ATLAS employs relationship; selected subset,S01,https://github.com/mitre-atlas/atlas-data/blob/v2026.09/dist/v6/ATLAS-2026.09.yaml#L15265-L15273,2026-09-24
MAP13,C04,AML.CS0065,AML.T0010.003,AI Supply Chain Compromise: Model,AML.TA0004,Initial Access,S05,official ATLAS employs relationship; selected subset,S01,https://github.com/mitre-atlas/atlas-data/blob/v2026.09/dist/v6/ATLAS-2026.09.yaml#L15196-L15205,2026-09-24
MAP14,C04,AML.CS0065,AML.T0011.000,User Execution: Unsafe AI Artifacts,AML.TA0005,Execution,S06,official ATLAS employs relationship; selected subset,S01,https://github.com/mitre-atlas/atlas-data/blob/v2026.09/dist/v6/ATLAS-2026.09.yaml#L15206-L15214,2026-09-24
