observable_id,case_id,type,value_as_reported,display_value,role,assessment_scope,source_id,source_url,source_locator,source_publication_date,collected_on,first_seen,current_status,to_ids,context,normalized_value,normalization_notes,was_normalized,syntax_valid,indicator_family,record_class
OBS001,C01,sha1,1733506c584dd6801accf7f58dc92a4a1285db1f,1733506c584dd6801accf7f58dc92a4a1285db1f,model archive hash,historical_ioc_candidate,S02,https://www.reversinglabs.com/blog/rl-identifies-malware-ml-model-hosted-on-hugging-face,Indicators of Compromise; model/SHA1 table,2025-02-06,2026-09-24,not established,not assessed,False,glockr1/ballr7; PyTorch file,1733506c584dd6801accf7f58dc92a4a1285db1f,no change required,False,True,file_hash,ioc_candidate
OBS002,C01,sha1,79601f536b1b351c695507bf37236139f42201b0,79601f536b1b351c695507bf37236139f42201b0,embedded file hash,historical_ioc_candidate,S02,https://www.reversinglabs.com/blog/rl-identifies-malware-ml-model-hosted-on-hugging-face,Indicators of Compromise; model/SHA1 table,2025-02-06,2026-09-24,not established,not assessed,False,glockr1/ballr7; Pickle file,79601f536b1b351c695507bf37236139f42201b0,no change required,False,True,file_hash,ioc_candidate
OBS003,C01,sha1,0dcc38fc90eca38810805bb03b9f6bb44945bbc0,0dcc38fc90eca38810805bb03b9f6bb44945bbc0,model archive hash,historical_ioc_candidate,S02,https://www.reversinglabs.com/blog/rl-identifies-malware-ml-model-hosted-on-hugging-face,Indicators of Compromise; model/SHA1 table,2025-02-06,2026-09-24,not established,not assessed,False,who-r-u0000/0000000000000000000000000000000000000; PyTorch file,0dcc38fc90eca38810805bb03b9f6bb44945bbc0,no change required,False,True,file_hash,ioc_candidate
OBS004,C01,sha1,85c898c5db096635a21a9e8b5be0a58648205b47,85c898c5db096635a21a9e8b5be0a58648205b47,embedded file hash,historical_ioc_candidate,S02,https://www.reversinglabs.com/blog/rl-identifies-malware-ml-model-hosted-on-hugging-face,Indicators of Compromise; model/SHA1 table,2025-02-06,2026-09-24,not established,not assessed,False,who-r-u0000/0000000000000000000000000000000000000; Pickle file,85c898c5db096635a21a9e8b5be0a58648205b47,no change required,False,True,file_hash,ioc_candidate
OBS005,C01,repository_identifier,glockr1/ballr7,glockr1/ballr7,historical distribution identifier,historical_repository_context,S02,https://www.reversinglabs.com/blog/rl-identifies-malware-ml-model-hosted-on-hugging-face,Indicators of Compromise; Malicious Hugging Face repositories,2025-02-06,2026-09-24,not established,not assessed,False,Identifier only; no repository visit or artifact download,glockr1/ballr7,no change required,False,,context,context
OBS006,C01,repository_identifier,who-r-u0000/0000000000000000000000000000000000000,who-r-u0000/0000000000000000000000000000000000000,historical distribution identifier,historical_repository_context,S02,https://www.reversinglabs.com/blog/rl-identifies-malware-ml-model-hosted-on-hugging-face,Indicators of Compromise; Malicious Hugging Face repositories,2025-02-06,2026-09-24,not established,not assessed,False,Identifier only; no repository visit or artifact download,who-r-u0000/0000000000000000000000000000000000000,no change required,False,,context,context
OBS007,C01,ipv4,107.173.7.141,107[.]173[.]7[.]141,reported callback address,historical_ioc_candidate,S02,https://www.reversinglabs.com/blog/rl-identifies-malware-ml-model-hosted-on-hugging-face,Indicators of Compromise; IP addresses,2025-02-06,2026-09-24,not established,not assessed,False,No connection or current reputation assessment performed,107.173.7.141,no change required,False,True,network,ioc_candidate
OBS008,C02,sha256,2385b29489cd9e35f92c072780f903ae2e517ed422eae67246ae50a5cc738a0e,2385b29489cd9e35f92c072780f903ae2e517ed422eae67246ae50a5cc738a0e,malicious binary hash,historical_ioc_candidate,S03,https://pytorch.org/blog/compromised-nightly-dependency/,What we know; SHA256(triton),2022-12-31,2026-09-24,not established,not assessed,False,"Binary hash, not a model hash",2385b29489cd9e35f92c072780f903ae2e517ed422eae67246ae50a5cc738a0e,no change required,False,True,file_hash,ioc_candidate
OBS009,C02,domain_pattern,*.h4ck[.]cfd,*.h4ck[.]cfd,reported exfiltration destination pattern,historical_ioc_candidate,S03,https://pytorch.org/blog/compromised-nightly-dependency/,What we know; DNS transmission description,2022-12-31,2026-09-24,not established,not assessed,False,Wildcard and source defanging preserved; not a standalone concrete hostname,*.h4ck.cfd,refanged dot notation,True,True,network,ioc_candidate
OBS010,C02,domain,wheezy[.]io,wheezy[.]io,reported DNS server domain,historical_ioc_candidate,S03,https://pytorch.org/blog/compromised-nightly-dependency/,What we know; DNS transmission description,2022-12-31,2026-09-24,not established,not assessed,False,Historical role only; no DNS lookup performed,wheezy.io,refanged dot notation,True,True,network,ioc_candidate
OBS011,C02,package_name,torchtriton,torchtriton,package name,package_context,S03,https://pytorch.org/blog/compromised-nightly-dependency/,The Background,2022-12-31,2026-09-24,not established,not assessed,False,Name alone does not identify the malicious version,torchtriton,no change required,False,,context,context
OBS012,C02,file_path,PYTHON_SITE_PACKAGES/triton/runtime/triton,PYTHON_SITE_PACKAGES/triton/runtime/triton,reported installation path pattern,file_path_context,S03,https://pytorch.org/blog/compromised-nightly-dependency/,What we know,2022-12-31,2026-09-24,not established,not assessed,False,"PYTHON_SITE_PACKAGES is the source placeholder, not an observed absolute path",PYTHON_SITE_PACKAGES/triton/runtime/triton,no change required,False,,context,context
